circulation,network,circulation_young_adult,_reference_transactions_adult
164475.0,Central,8.0,22035.0
4357059.0,Central,61817.0,554229.0
0.0,Special Unit,0.0,0.0
116378.0,Parkchester Network,19222.0,35815.0
44763.0,Parkchester Network,3169.0,21190.0
110147.0,Parkchester Network,11468.0,46514.0
400661.0,Countee Cullen Network,30858.0,36608.0
303308.0,Parkchester Network,39299.0,23738.0
319599.0,Countee Cullen Network,37962.0,29211.0
373231.0,Countee Cullen Network,39402.0,71448.0
0.0,Special Units,0.0,0.0
86365.0,Bronx Library Center Network,11677.0,33605.0
3.0,Central,0.0,0.0
6090462.0,Other,377974.0,0.0
91595.0,Parkchester Network,12749.0,16445.0
123711.0,Parkchester Network,19447.0,13728.0
403269.0,Countee Cullen Network,31002.0,47944.0
268700.0,Staten Island Network,25978.0,63089.0
4965597.0,,642831.0,1429241.0
375205.0,Central,4575.0,116584.0
332499.0,Seward Park Network,29360.0,32903.0
150543.0,Seward Park Network,10853.0,41314.0
209385.0,Seward Park Network,19902.0,50908.0
120357.0,Parkchester Network,17138.0,80314.0
2445213.0,,223542.0,676013.0
4357059.0,Central,61817.0,554229.0
335467.0,Seward Park Network,34573.0,34554.0
81522.0,Bronx Library Center Network,12496.0,18395.0
137740.0,Parkchester Network,17308.0,36023.0
231174.0,Seward Park Network,15903.0,25584.0
70887.0,Bronx Library Center Network,6060.0,12649.0
343.0,Staten Island Network,32.0,0.0
572140.0,Seward Park Network,82349.0,31122.0
164782.0,Seward Park Network,25640.0,24219.0
132105.0,Parkchester Network,20499.0,30706.0
143075.0,Parkchester Network,16834.0,70538.0
101660.0,Bronx Library Center Network,16005.0,52780.0
448296.0,Seward Park Network,43961.0,37908.0
0.0,Special Units,0.0,0.0
160133.0,Countee Cullen Network,16783.0,14924.0
325527.0,Seward Park Network,27269.0,49868.0
337214.0,Seward Park Network,44891.0,19383.0
160172.0,Staten Island Network,14004.0,39403.0
241865.0,Staten Island Network,17813.0,179179.0
138408.0,Bronx Library Center Network,10117.0,16978.0
1515.0,Countee Cullen Network,165.0,0.0
410516.0,Seward Park Network,33683.0,90649.0
130919.0,Bronx Library Center Network,20191.0,75595.0
111349.0,Parkchester Network,13086.0,19370.0
513475.0,Seward Park Network,82085.0,102427.0
120219.0,Countee Cullen Network,14443.0,327119.0
123151.0,Staten Island Network,11163.0,18798.0
306114.0,Countee Cullen Network,20149.0,66209.0
0.0,Special Unit,0.0,0.0
150465.0,Bronx Library Center Network,21413.0,44460.0
693822.0,Central,331.0,98280.0
162362.0,Bronx Library Center Network,20455.0,24661.0
2271969.0,Parkchester Network,304427.0,593341.0
88286.0,Bronx Library Center Network,15661.0,23257.0
199550.0,Countee Cullen Network,21545.0,52780.0
208650.0,Countee Cullen Network,26945.0,34502.0
102189.0,Bronx Library Center Network,15534.0,11479.0
4660771.0,Countee Cullen Network,421030.0,1126801.0
441788.0,Countee Cullen Network,34916.0,48776.0
114764.0,Parkchester Network,16391.0,26221.0
459173.0,Countee Cullen Network,30736.0,37739.0
2445213.0,Staten Island Network,223542.0,676013.0
365868.0,Seward Park Network,24474.0,151879.0
118678.0,Bronx Library Center Network,14614.0,96980.0
245346.0,Staten Island Network,22124.0,36699.0
257135.0,Staten Island Network,23400.0,152763.0
117053.0,Parkchester Network,17760.0,28028.0
90800.0,Staten Island Network,11198.0,18811.0
5388568.0,Seward Park Network,562480.0,866177.0
613978.0,Bronx Library Center Network,75239.0,254384.0
105544.0,Countee Cullen Network,10710.0,37596.0
96776.0,Bronx Library Center Network,15379.0,27469.0
156924.0,Parkchester Network,17572.0,61945.0
10049339.0,,983510.0,1992978.0
147343.0,Seward Park Network,14699.0,9230.0
219460.0,Seward Park Network,21736.0,70733.0
607281.0,Staten Island Network,53328.0,82589.0
139709.0,Staten Island Network,13752.0,29809.0
132662.0,Bronx Library Center Network,15957.0,35373.0
207622.0,Seward Park Network,13994.0,33579.0
2693628.0,Bronx Library Center Network,338404.0,835900.0
80234.0,Countee Cullen Network,14352.0,23400.0
152523.0,Staten Island Network,13544.0,19396.0
43005.0,Parkchester Network,8599.0,10465.0
117693.0,Seward Park Network,8938.0,25168.0
,Seward Park Network,,
171617.0,Parkchester Network,20253.0,31278.0
156827.0,Parkchester Network,22494.0,26455.0
27907670.0,System,2289674.0,4652461.0
299564.0,Seward Park Network,28170.0,34749.0
77251.0,Parkchester Network,11139.0,14568.0
2801300.0,Central,56735.0,295867.0
37421.0,Countee Cullen Network,6743.0,9659.0
0.0,Special Units,0.0,0.0
273562.0,Countee Cullen Network,16372.0,123500.0
239370.0,Bronx Library Center Network,13578.0,24193.0
322254.0,Central,168.0,21463.0
253162.0,Countee Cullen Network,14765.0,66976.0
209305.0,Countee Cullen Network,25338.0,77246.0
307641.0,Countee Cullen Network,27844.0,21164.0
158188.0,Staten Island Network,17206.0,35477.0
0.0,Special Units,0.0,0.0
144788.0,Bronx Library Center Network,26971.0,36023.0
234313.0,Bronx Library Center Network,27057.0,47619.0
